GOOGL
Price            Close        High         Low        Open     Volume
Ticker           GOOGL       GOOGL       GOOGL       GOOGL      GOOGL
Date                                                                 
2025-05-30  200.428024  201.535693  196.366568  198.951123   70819900
2025-06-02  201.276230  201.705334  199.699548  199.859215   35423300
2025-06-03  202.842926  203.341876  200.537782  200.926962   46381600
2025-06-04  202.393890  205.806703  201.675402  202.483698   43604000
2025-06-05  200.208496  204.319835  199.729494  203.072462   55126100
2025-06-06  203.491562  205.267821  201.625496  202.573497   46607700
2025-06-09  201.026764  205.567208  199.599776  203.960590   72862600
2025-06-10  202.244186  203.920665  200.148608  200.178543   54672600
2025-06-11  198.362366  204.070349  197.993148  203.072450   60989900
2025-06-12  198.781479  199.260466  196.945348  198.661736   43904600
2025-06-13  196.037262  199.949024  195.288838  199.310370   51447300
2025-06-16  198.003128  198.272565  196.147035  196.885486   43020700
2025-06-17  195.228958  197.973180  194.799869  196.785678   38856200
2025-06-18  196.166977  197.154902  194.660155  195.528322   45394700
2025-06-20  200.577698  201.276224  196.446397  197.823502   96813500
2025-06-23  201.076660  201.874982  198.542003  201.206392   55814300
2025-06-24  199.879181  203.012583  199.779385  202.164363   54064000
2025-06-25  201.136536  203.242103  200.198508  201.026766   39525700
2025-06-26  200.577698  202.214251  199.040940  201.006787   50799100
2025-06-27  200.657532  202.793035  199.579799  201.465827   73188600
2025-06-30  204.738937  206.954274  198.841351  201.585573   91912800
2025-07-01  207.383377  209.748393  205.706899  206.235784   78788900
2025-07-02  211.993668  212.891771  207.702699  208.471085   67941800
2025-07-03  213.101349  214.199029  211.364999  211.704281   34955800
2025-07-07  209.508896  215.775700  208.361318  212.233156   50229000
2025-07-08  209.568771  210.985786  208.012051  209.658594   42848900
2025-07-09  210.696396  210.885999  206.784634  209.089778   48749400
2025-07-10  211.963730  213.031474  209.588725  210.067713   44443600
2025-07-11  210.716354  211.684318  209.419083  210.127598   39765800
2025-07-14  208.181686  210.466884  207.103954  209.488932   38840100
2025-07-15  208.670670  211.444828  208.481066  208.780439   42296300
2025-07-16  209.718475  211.953760  208.201664  209.858181   47490500
2025-07-17  209.578751  211.355010  209.149646  210.127598   48068100
2025-07-18  210.736313  211.345032  209.259427  210.426967   48974600
2025-07-21  212.033569  215.326639  211.185364  211.654378   51377400
2025-07-22  213.949554  214.498402  211.784115  212.692207   46404100
2025-07-23  213.700073  214.697972  211.963739  214.548294   46989300
2025-07-24  213.310883  215.236836  213.081370  213.450588   46022600
2025-07-25  213.430649  214.787792  212.951646  214.248918   40268800
2025-07-28  213.600296  214.398618  212.612370  213.580334   37858000
2025-07-29  210.826126  214.358682  210.377075  213.730001   51411700
2025-07-30  208.610794  211.943773  207.283587  211.454797   45512500
2025-07-31  207.133911  209.399131  206.724769  208.051976   80698400
2025-08-01  201.954819  213.131285  201.076663  210.426972  104434500
2025-08-04  202.922775  207.443257  201.256270  204.080327   75109300
2025-08-05  202.493668  204.908581  201.735270  202.972655   44155100
2025-08-06  212.801971  214.927501  205.158061  205.197986  108483100
2025-08-07  219.567719  220.386003  216.124970  218.420141   90224800
2025-08-08  228.868149  230.514676  218.789363  220.366045  113854000
2025-08-11  226.959976  229.337676  224.542322  227.699265   61806100
2025-08-12  229.427582  230.576477  226.850094  227.789171   55626200
2025-08-13  233.104034  234.772415  230.206834  230.846229   69878500
2025-08-14  232.554565  234.892296  230.626442  233.833325   51916300
2025-08-15  231.365707  234.053105  229.117886  233.773377   56038700
2025-08-18  230.666397  232.894233  229.887154  231.475610   37476200
2025-08-19  230.336716  232.644476  229.127896  231.056020   39402600
2025-08-20  225.791107  230.246794  225.551349  229.757264   42263900
2025-08-21  224.682190  226.300631  223.563279  226.050874   30621200
2025-08-22  227.539413  228.868127  225.191699  225.950957   42477800
2025-08-25  226.940002  229.077929  226.010895  226.260653   30983100
2025-08-26  229.087921  229.267755  224.472400  226.650282   54575100
2025-08-27  230.266785  230.676376  228.038933  228.388600   31259500
2025-08-28  232.334778  233.183961  229.117895  230.596473   38074700
2025-08-29  231.915176  233.153981  231.145918  232.284813   39418400
